txn_id,date,from_clabe,to_clabe,amount,reference,channel
TX00033,2025-02-27,012580001234567890,012999999999999999,435335.94,NOMINA QUINCENAL,SPEI
TX00034,2025-02-28,012580001234567890,012514640228022758,66305.6,Pago factura CCEA5031-844E-250B-E684-390C923B7820,SPEI
TX00035,2025-03-03,012580001234567890,014963593378687656,160938.4,Pago factura C7A2EE6F-D166-EB08-B073-6DD1F443864C,SPEI
TX00036,2025-03-03,012580001234567890,072880371318781446,8978.98,Pago factura DFCF338C-DEC5-6DC3-AD96-8213F0A9B97F,SPEI
TX00037,2025-03-03,021577604977575166,012580001234567890,431891.72,Cobro factura 3A8C8ED5-A06A-A68A-9CAC-3D21A5A8C8AF,SPEI
TX00038,2025-03-03,072972163989822734,012580001234567890,149195.35,Cobro factura E32A8787-1824-6315-AD49-E0727F843004,SPEI
TX00039,2025-03-04,012580001234567890,002290297721441525,120848.68,Pago factura 4818B004-B0A4-F557-3381-001FA3FF8FD2,SPEI
TX00040,2025-03-05,058761949011137398,012580001234567890,458055.37,Cobro factura 528A34F3-63EA-C0A1-9202-B09C60B36938,SPEI
TX00041,2025-03-06,012580001234567890,058034246116364526,58823.48,Pago factura 953B0F1F-EA3E-072A-8F22-1604D46B7756,SPEI
TX00042,2025-03-06,012580001234567890,021031934278352199,9604.68,Pago factura E2AE3F87-EE7C-A782-A7A3-1D2515956C42,SPEI
TX00043,2025-03-06,012580001234567890,014754116804397510,15730.18,Pago factura 83D0BAE7-7C2C-FBCF-0770-D18FC9160147,SPEI
TX00044,2025-03-07,012580001234567890,072035061403237378,56703.58,Pago factura 21EBFAA9-1A2B-D69C-450F-69EEC2E79A98,SPEI
TX00045,2025-03-07,012580001234567890,014273796172575982,168977.08,Pago factura 97867B12-1328-1726-64F4-34D6D1E91691,SPEI
TX00046,2025-03-10,012580001234567890,021578686926242393,92103.88,Pago factura C4072654-7F5F-61AA-AEE7-C7A586296FBE,SPEI
TX00047,2025-03-11,012580001234567890,002657203516539575,20123.45,Pago factura 51589375-7D8F-2350-31C7-7A4464F8F226,SPEI
TX00048,2025-03-12,012580001234567890,012362985433945965,152795.08,Pago factura F91E5FCD-85EC-E729-D4DD-1B56435391B2,SPEI
TX00049,2025-03-12,012580001234567890,058685848483733296,94931.85,Pago factura B646E2B1-7800-E27A-9ACE-63CCD89C83F6,SPEI
TX00050,2025-03-12,012580001234567890,014963593378687656,178584.78,Pago factura 701FB3EA-A1FE-9BC6-E29D-650A15B98C20,SPEI
TX00051,2025-03-12,072135125058454048,012580001234567890,267021.76,Cobro factura 8DA22A39-50DB-8E34-938F-2B906C087D6C,SPEI
TX00052,2025-03-13,012580001234567890,021340837908549238,59972.0,Pago factura 3B3F3800-A175-A9C3-D7B1-02A92332A50E,SPEI
TX00053,2025-03-13,012580001234567890,012419423697713595,88278.78,Pago factura 13B11E59-C85C-D714-7BF6-95524CBC9044,SPEI
TX00054,2025-03-13,012580001234567890,058722831908112160,73451.2,Pago factura 6A7BE8B1-E3F3-42A8-F030-BFD4BE54898E,SPEI
TX00055,2025-03-14,012580001234567890,072495668610432053,10344.65,Pago factura 9ABBE46B-B205-1CEC-C9F7-369FE4C1D210,SPEI
TX00056,2025-03-17,012580001234567890,021273872090747664,20740.8,Pago factura 6DEC6BBD-F697-77A1-59FE-3D53624FEA4B,SPEI
TX00057,2025-03-17,012580001234567890,014109484060153917,220657.98,Pago factura 6545C030-A981-FA54-F121-E129B45C9A54,SPEI
TX00058,2025-03-17,012580001234567890,014109484060153917,162284.0,Pago factura 7B94A34D-E4AA-786D-9D17-D218FC3B0DE5,SPEI
TX00059,2025-03-17,012580001234567890,058425592962567064,71110.78,Pago factura B5DEF807-4A96-5478-A72B-DDDD511EEEB8,SPEI
TX00060,2025-03-17,012580001234567890,002466589120859208,27666.58,Pago factura 17172654-3B99-7815-0219-A9C7BA23B07A,SPEI
TX00061,2025-03-17,012580001234567890,072880371318781446,5278.58,Pago factura 2A3DD769-8DAC-210D-5EB3-8EF5B24070CA,SPEI
TX00062,2025-03-17,127766932944937978,012580001234567890,133774.23,Cobro factura 3DE54EE2-A655-596C-2528-D32DA60C2BED,SPEI
TX00063,2025-03-18,012580001234567890,072495668610432053,19824.28,Pago factura BDDF2416-A173-1ED8-78F2-961C3EC77A8F,SPEI
TX00064,2025-03-18,127766932944937978,012580001234567890,98637.38,Cobro factura D0E34B2B-1CA6-4C33-30D8-67CD038D5F5A,SPEI
TX00065,2025-03-19,012580001234567890,072633487067317933,11898.46,Pago factura 0AB74B5D-FCD4-9681-CA09-7B17951B2503,SPEI
TX00066,2025-03-20,012580001234567890,014856844373989238,15787.48,Pago factura 9B47E639-4D25-51EB-AF95-BE79C971BF51,SPEI
TX00067,2025-03-20,014646706457108641,012580001234567890,80746.74,Cobro factura 489AC27E-6281-03F0-1D9F-FF257E63F654,SPEI
TX00068,2025-03-21,012580001234567890,072035061403237378,189071.18,Pago factura EDC3A1C3-2DEA-2D2D-086C-405FA879D8F8,SPEI
TX00069,2025-03-21,012580001234567890,058215509941847528,140035.78,Pago factura 62874624-A433-1510-AD21-B4CCA9E8F0D8,SPEI
TX00070,2025-03-24,012580001234567890,021340837908549238,23199.88,Pago factura E8334DA5-DE95-D695-3579-C1437AB99428,SPEI
TX00071,2025-03-24,012580001234567890,021273872090747664,29139.08,Pago factura 9620BEE6-6406-FACE-53A5-E8508950DDD6,SPEI
TX00072,2025-03-24,012580001234567890,014856844373989238,16471.88,Pago factura C53F1DB3-D275-BD43-8451-7303E94D4FBE,SPEI
TX00073,2025-03-24,058761949011137398,012580001234567890,334904.79,Cobro factura 80B57013-7F29-C9E7-5601-F6A534B6685D,SPEI
TX00074,2025-03-24,012230486458487734,012580001234567890,251173.74,Cobro factura 1CEB08FE-F2DE-B798-B31A-25B55FECAA6E,SPEI
TX00075,2025-03-24,014739715501344653,012580001234567890,390167.39,Cobro factura BCA83A82-7899-7035-7DDF-8484F0C44ECB,SPEI
TX00076,2025-03-24,014739715501344653,012580001234567890,193335.2,Cobro factura 8C37E264-D03C-D20A-BAAE-EBF89A244525,SPEI
TX00077,2025-03-24,012604717059498419,012580001234567890,381130.61,Cobro factura 0E378B07-CC53-5C3E-52BB-530D486FAC8F,SPEI
TX00078,2025-03-24,012580001234567890,127790287445645713,174000.0,Pago factura B2AC4768-F122-4F43-C527-4F356DC56044,SPEI
TX00079,2025-03-25,012580001234567890,127967249590173425,55680.0,Pago factura BFEEB533-ACF5-9149-B1C9-D0DCA38CC35F,SPEI
TX00080,2025-03-26,012580001234567890,072101837512445132,72627.48,Pago factura A5DD2836-E65F-A9FA-C38C-2EAFA8097A77,SPEI
CP00002,2025-03-27,127967249590173425,021593586857022021,22272.0,TRANSFERENCIA,SPEI
CP00003,2025-03-27,127967249590173425,021593586857022021,22272.0,TRANSFERENCIA,SPEI
TX00081,2025-03-27,012580001234567890,072463414408727065,138794.58,Pago factura B3099E0D-B0AC-0677-D60F-8680A124FDB2,SPEI
TX00082,2025-03-27,012580001234567890,012098671286174002,47928.65,Pago factura 05CF079E-A095-2C4D-F3BD-2348854BC8FA,SPEI
TX00083,2025-03-27,014789135342202362,012580001234567890,177486.64,Cobro factura E68C1348-1046-E3DF-DDFE-F8494C485CFC,SPEI
TX00084,2025-03-28,014646706457108641,012580001234567890,356022.07,Cobro factura 1090DC9D-2B31-71DC-FA54-9893E476231A,SPEI
TX00085,2025-03-28,012580001234567890,012999999999999999,428655.27,NOMINA QUINCENAL,SPEI
TX00086,2025-03-28,012580001234567890,127967249590173425,55680.0,Pago factura EAC97D37-B587-8D33-1D5B-D8B04027B283,SPEI
TX00087,2025-03-31,012580001234567890,021273872090747664,18957.18,Pago factura C0CEF31B-D038-E153-C601-818B61FA01BA,SPEI
TX00088,2025-03-31,072987012365319337,012580001234567890,68162.23,Cobro factura E88188C3-788F-06ED-3C1E-919BEE5A4007,SPEI
TX00089,2025-04-01,012580001234567890,021340837908549238,50353.05,Pago factura 6589ADA1-345A-F934-B42A-2D939ABA0F15,SPEI
TX00090,2025-04-02,012580001234567890,012362985433945965,184802.38,Pago factura D4A5A81E-6B38-2A0A-231D-260BB362CD55,SPEI
TX00091,2025-04-02,012580001234567890,058215509941847528,60610.58,Pago factura C00C200C-4458-B006-332C-CE0A0E7DA698,SPEI
TX00092,2025-04-02,012580001234567890,072463414408727065,58765.48,Pago factura 59AE7302-8AE3-297E-34E2-41421A354475,SPEI
TX00093,2025-04-02,002744493163720449,012580001234567890,172367.29,Cobro factura C8497436-18B4-75B1-C12A-34F402A13629,SPEI
TX00094,2025-04-03,012580001234567890,014273796172575982,73616.38,Pago factura 2B015723-0CF6-97A5-7603-C36CF1394E3C,SPEI
TX00095,2025-04-03,012580001234567890,058215509941847528,204055.48,Pago factura B5CAA993-AACA-D101-F153-0F689215583A,SPEI
TX00096,2025-04-04,012580001234567890,021273872090747664,44471.85,Pago factura 70F81DBA-2871-9B9B-DB8F-0E32EDEF5003,SPEI
TX00097,2025-04-04,012580001234567890,012362985433945965,200181.08,Pago factura 16DC5A6E-A789-0770-55EC-024AE64B9B37,SPEI
TX00098,2025-04-04,012580001234567890,021578686926242393,96175.6,Pago factura 8EF00DE1-FB4F-1972-5115-D7EE3B90908E,SPEI
TX00099,2025-04-04,012580001234567890,058685848483733296,98695.58,Pago factura EF0B743E-BEE0-4762-7168-BDEC4DA838B7,SPEI
TX00100,2025-04-04,012580001234567890,002612058920737212,168977.08,Pago factura 97867B12-1328-1726-64F4-34D6D1E91691,SPEI
TX00101,2025-04-07,012580001234567890,002538819687479285,13606.68,Pago factura C28FA16B-0AA6-FCB9-C1BC-BE59D296A12D,SPEI
TX00102,2025-04-07,012580001234567890,012362985433945965,224782.25,Pago factura DAAF7529-DEEF-F82A-0DD7-015869C165AE,SPEI
TX00103,2025-04-07,012580001234567890,058425592962567064,191803.45,Pago factura 35F3DE4A-AC92-04B4-0306-A2580227B8D5,SPEI
TX00104,2025-04-07,012580001234567890,058685848483733296,45959.08,Pago factura 3B1D0181-9CC3-C1F5-9129-BC759B08E5A8,SPEI
TX00105,2025-04-07,012580001234567890,072463414408727065,56480.4,Pago factura 0BCFD0FC-E3A1-AF97-7785-2DDB55527A3C,SPEI
TX00106,2025-04-07,012580001234567890,002657203516539575,24450.25,Pago factura 584CB0F7-48DE-D8BE-031E-EF965F71DCC4,SPEI
TX00107,2025-04-07,072390809722560856,012580001234567890,318481.77,Cobro factura 4CC6D67E-CDDB-3F9E-8130-0E684D45D885,SPEI
TX00108,2025-04-08,012580001234567890,072101837512445132,173466.28,Pago factura 2CE6F908-CECE-A5D3-5EA9-09EF7257DCB6,SPEI
TX00109,2025-04-08,127766932944937978,012580001234567890,259648.1,Cobro factura A92DCF4F-76F3-BA50-1830-208269BBA3C4,SPEI
TX00110,2025-04-09,012580001234567890,021890726303659684,12165.85,Pago factura 97A418B8-92D0-0319-20BD-14220B0B81DE,SPEI
TX00111,2025-04-09,012580001234567890,127967249590173425,74240.0,Pago factura 23E7CD20-700E-A842-F334-685DB6AD478C,SPEI
TX00112,2025-04-10,012580001234567890,127967249590173425,74240.0,Pago factura BDCF6FD4-88DF-12C1-1FC8-628D4B4D1079,SPEI
TX00113,2025-04-11,012580001234567890,021340837908549238,53174.4,Pago factura 87AD8B26-8EAA-5841-6AA0-426DF7C0D5F7,SPEI
TX00114,2025-04-11,012580001234567890,012362985433945965,156496.18,Pago factura AE46024D-51D0-5EF3-A918-83FC6772FE9F,SPEI
CP00007,2025-04-14,127967249590173425,021593586857022021,29696.0,TRANSFERENCIA,SPEI
CP00008,2025-04-14,127967249590173425,021593586857022021,29696.0,TRANSFERENCIA,SPEI
TX00115,2025-04-14,012580001234567890,002538819687479285,19450.65,Pago factura 2F8D8DED-6C4C-450B-623A-D0FC93267D25,SPEI
TX00116,2025-04-14,012580001234567890,058215509941847528,151690.65,Pago factura 1EE93260-3002-D831-3227-E8D89C60C81B,SPEI
TX00117,2025-04-14,012580001234567890,058425592962567064,124212.68,Pago factura 89D716EF-A62D-7221-A65D-958E936DD1A8,SPEI
TX00118,2025-04-14,012580001234567890,072880371318781446,6405.98,Pago factura 2CAF3D2F-F026-A418-3D3F-BBEC697AE294,SPEI
TX00119,2025-04-14,012580001234567890,127897211558517365,6087.62,Pago factura 302B0401-EFED-098B-979A-7368BD96BB0A,SPEI
TX00120,2025-04-15,012580001234567890,014963593378687656,192151.45,Pago factura F09E0302-B525-A4D9-83F0-23FD00F2BAA4,SPEI
TX00121,2025-04-15,012230486458487734,012580001234567890,145820.9,Cobro factura 503BA8C3-CE83-0E27-C5EF-D6701F4D88CE,SPEI
TX00122,2025-04-15,072987012365319337,012580001234567890,177221.39,Cobro factura DF266424-7FCC-4456-20BC-2FA0FA801062,SPEI
TX00123,2025-04-16,058761949011137398,012580001234567890,187379.36,Cobro factura 0991946D-537C-64B0-89D5-AF23050BD848,SPEI
TX00124,2025-04-21,012580001234567890,021273872090747664,48094.18,Pago factura D28FCF68-C871-D7B3-8468-B74D85E3ADE5,SPEI
TX00125,2025-04-21,012580001234567890,014109484060153917,198450.25,Pago factura F7FF88D4-B509-F08A-2C98-8BCA51397C06,SPEI
TX00126,2025-04-21,012580001234567890,127342545876026850,45576.28,Pago factura F168C605-CE1A-1669-9BBC-6CBC409CA8F2,SPEI
TX00127,2025-04-21,012580001234567890,072267963609841748,122331.05,Pago factura F5EA4128-854D-C3BF-61D8-5365BADA0C94,SPEI
TX00128,2025-04-21,012580001234567890,058685848483733296,43802.18,Pago factura ECE9504B-03D7-F962-F804-43EEC3B8D179,SPEI
TX00129,2025-04-21,002744493163720449,012580001234567890,403505.66,Cobro factura 3DE814AC-9CEA-B67B-BA82-854AC7E2A618,SPEI
TX00130,2025-04-21,012230486458487734,012580001234567890,284838.49,Cobro factura 859F02BB-1EE2-6F39-EED4-DB8980104995,SPEI
TX00131,2025-04-21,012580001234567890,072633487067317933,21978.36,Pago factura 68A69E71-DF22-3246-E6FB-61D3FBA26C21,SPEI
TX00132,2025-04-22,012580001234567890,014109484060153917,218785.05,Pago factura 171B1B80-09B7-FDF7-7D8D-3DDD2CF149CB,SPEI
TX00133,2025-04-22,012230486458487734,012580001234567890,119544.41,Cobro factura 688B4CFB-7081-75FD-4648-BBE8F84CE7A9,SPEI
TX00134,2025-04-22,072135125058454048,012580001234567890,115765.66,Cobro factura 71FCF2E6-B3DD-7820-BD20-C36A270524CB,SPEI
TX00135,2025-04-23,012580001234567890,072633487067317933,20027.12,Pago factura 1C3892E8-F2CF-CD63-80AB-4B7F2E968660,SPEI
TX00136,2025-04-24,012580001234567890,127342545876026850,55518.18,Pago factura 44E2A94B-34EC-5264-AD7D-6F8139A0F145,SPEI
TX00137,2025-04-24,014789135342202362,012580001234567890,315457.1,Cobro factura 7C602399-B8F4-0E5E-F6BA-BCCC0ACFBD89,SPEI
TX00138,2025-04-25,012580001234567890,012362985433945965,226051.98,Pago factura 1DABB10A-BD10-F87C-6D0E-0597500D92A7,SPEI
TX00139,2025-04-25,012580001234567890,021890726303659684,7064.98,Pago factura A33B3DFD-9048-65C6-F820-5AA7996F7E88,SPEI
TX00140,2025-04-28,012580001234567890,021890726303659684,8421.6,Pago factura 1D03C3D5-B862-ACC3-5489-9C37CFA9026B,SPEI
TX00141,2025-04-28,012580001234567890,021031934278352199,16634.4,Pago factura 8C662766-7922-B440-E0F1-E44CEFD1B588,SPEI
TX00142,2025-04-28,012580001234567890,072880371318781446,10068.8,Pago factura A616DDE4-B388-300A-3E20-718A0BB9A8F6,SPEI
TX00143,2025-04-28,002744493163720449,012580001234567890,399631.77,Cobro factura 946A95A6-F2E4-01AF-4702-1755F11CC0A4,SPEI
TX00144,2025-04-28,012580001234567890,012999999999999999,418473.72,NOMINA QUINCENAL,SPEI
TX00145,2025-04-29,072135125058454048,012580001234567890,82352.67,Cobro factura 7957595F-25EE-2F0F-76A3-0EB0C50C71F4,SPEI
TX00146,2025-04-30,012580001234567890,002657203516539575,20613.08,Pago factura 4A1A4219-61BB-A5FB-D510-8BC02F9E1DDB,SPEI
TX00147,2025-04-30,058349998051929549,012580001234567890,196336.88,Cobro factura 833D3DF1-5E11-A680-D501-6ADA189AC35D,SPEI
TX00148,2025-05-01,012580001234567890,002538819687479285,19664.78,Pago factura 73D39457-B25F-13DF-B8D4-9848702BA49F,SPEI
TX00149,2025-05-01,012580001234567890,002290297721441525,227894.18,Pago factura 7702BEBA-0623-FFBF-1E42-D2B800679B62,SPEI
TX00150,2025-05-01,072972163989822734,012580001234567890,61376.08,Cobro factura 7796048F-B4B9-FB73-29DE-BCCC429E09BD,SPEI
TX00151,2025-05-02,012580001234567890,058215509941847528,169501.98,Pago factura 27A158A0-EFFF-A2F4-B5AE-329D77617D80,SPEI
TX00152,2025-05-05,012580001234567890,014109484060153917,90108.68,Pago factura 9770A3DB-E9FA-97E2-5BD9-3609B297A782,SPEI
TX00153,2025-05-05,012580001234567890,127342545876026850,27315.45,Pago factura AE61716A-1FB6-21AE-EC4E-8CBBA2AA378C,SPEI
TX00154,2025-05-05,012580001234567890,002657203516539575,11959.6,Pago factura 8A34B26B-72CC-3FC5-5F77-5A7A25DFAC07,SPEI
TX00155,2025-05-05,012580001234567890,002657203516539575,18943.38,Pago factura FE8C9AAB-7E38-8A19-46F7-B20AC3C49506,SPEI
TX00156,2025-05-05,127766932944937978,012580001234567890,134542.15,Cobro factura 9AA33580-FB70-8DD7-BF3D-5023140642A8,SPEI
TX00157,2025-05-06,012580001234567890,012098671286174002,30287.6,Pago factura DA05D2FC-1C71-A821-22F1-C32B47D5AC92,SPEI
TX00158,2025-05-06,012580001234567890,127967249590173425,74240.0,Pago factura 3332432B-3D10-FA95-E8A4-42385FE8B710,SPEI
TX00159,2025-05-06,012580001234567890,127897211558517365,19197.68,Pago factura A9A2E9CD-7B6F-65DF-1D9D-1D80F47E3CA0,SPEI
TX00160,2025-05-07,012580001234567890,012514640228022758,54671.38,Pago factura 66D71D97-B193-C8B8-AE49-C0799BD0D4C7,SPEI
TX00161,2025-05-08,012580001234567890,072598675858742267,8711.48,Pago factura DF495037-B40A-9181-AC09-BDB799086E47,SPEI
TX00162,2025-05-08,012580001234567890,021340837908549238,49639.18,Pago factura 2F1DC121-7D02-4C6D-8BEA-75C1B86677AA,SPEI
TX00163,2025-05-08,012580001234567890,072463414408727065,194729.08,Pago factura 21BD55EB-915A-A3C0-7737-CFB5C3B1927B,SPEI
TX00164,2025-05-08,012604717059498419,012580001234567890,58457.99,Cobro factura A8D791B6-B52C-4358-D4A8-B45A75D1D776,SPEI
TX00165,2025-05-09,012580001234567890,072880371318781446,9289.05,Pago factura 8BBF1B30-9372-92E6-AF20-6A9DF9D18507,SPEI
CP00010,2025-05-12,127967249590173425,021593586857022021,29696.0,TRANSFERENCIA,SPEI
TX00166,2025-05-12,012580001234567890,072463414408727065,118216.18,Pago factura 70ECF41B-C5D5-6016-51B3-CCF588433A38,SPEI
TX00167,2025-05-12,002744493163720449,012580001234567890,291783.04,Cobro factura 59FE1C45-ABAC-7BF8-2F4D-DC9B3334CD07,SPEI
TX00168,2025-05-14,012580001234567890,002538819687479285,11539.45,Pago factura 3283DAA4-E212-AB7C-9D36-1CB6BCC57BE0,SPEI
TX00169,2025-05-14,012580001234567890,002538819687479285,11971.2,Pago factura 2FDC9992-8971-8EEA-DF3A-098ACCAC2FB5,SPEI
TX00170,2025-05-14,012580001234567890,014754116804397510,5031.85,Pago factura 12D2D7E6-387D-5ADD-E430-81AA6022E3FF,SPEI
TX00171,2025-05-14,127766932944937978,012580001234567890,398399.15,Cobro factura E07309DE-6A8F-7654-1552-87C70B961346,SPEI
TX00172,2025-05-15,012580001234567890,012362985433945965,204021.38,Pago factura C37944C1-C903-94EA-7D54-EC82288F3435,SPEI
TX00173,2025-05-15,012580001234567890,002657203516539575,14465.08,Pago factura C190B0CF-9736-BB4F-F5C8-CE3CEEE31D47,SPEI
TX00174,2025-05-16,012580001234567890,002290297721441525,191399.88,Pago factura A104BDCE-FAB6-AD91-BACF-7CFC92451CC4,SPEI
TX00175,2025-05-19,012580001234567890,058215509941847528,71082.25,Pago factura 72730E7B-7F9A-D277-DB49-6E6D1688782F,SPEI
TX00176,2025-05-19,012580001234567890,058425592962567064,214319.05,Pago factura 5C6801D6-4280-3AA0-55AC-0D06BE9DA951,SPEI
TX00177,2025-05-19,012580001234567890,002466589120859208,52849.48,Pago factura 8F807D8B-E1D5-5F85-6967-858630463008,SPEI
TX00178,2025-05-19,014133686941179027,012580001234567890,89169.7,Cobro factura D4E20134-389A-E4FD-80DD-B3862790E92F,SPEI
TX00179,2025-05-19,014789135342202362,012580001234567890,160284.52,Cobro factura CDB4ADAB-CA27-CD69-4226-4BA40775D778,SPEI
TX00180,2025-05-20,012580001234567890,058425592962567064,163951.85,Pago factura 2648C819-BD11-16EE-F58A-B7C7CCCF4130,SPEI
TX00181,2025-05-20,014646706457108641,012580001234567890,51739.36,Cobro factura 1AEC8B70-AC0E-7307-7DDC-AAF6AC95ADB1,SPEI
TX00182,2025-05-21,014739715501344653,012580001234567890,150634.44,Cobro factura D4A39A51-C481-EA69-F83B-F029B6AC2048,SPEI
TX00183,2025-05-21,012580001234567890,127601932254303939,98600.0,Pago factura 663463E9-D317-D8C9-1060-573A721B7707,SPEI
TX00184,2025-05-22,012580001234567890,072463414408727065,89067.58,Pago factura 214C87B1-0CFC-6420-7192-E4438A6342CA,SPEI
TX00185,2025-05-23,012580001234567890,058425592962567064,201875.38,Pago factura F08D312E-7A73-2F35-6C55-40F0CC9CF41C,SPEI
TX00186,2025-05-23,012580001234567890,058722831908112160,48792.38,Pago factura D284B528-B091-6FB7-F17F-3F92D26AA790,SPEI
TX00187,2025-05-23,012580001234567890,058685848483733296,34333.45,Pago factura 7521AA18-DDE4-F5C1-532C-5C01B017C533,SPEI
TX00188,2025-05-23,014217435224929418,012580001234567890,308807.74,Cobro factura BCE05A63-197F-9B8D-079B-F5E62275B1E2,SPEI
TX00189,2025-05-23,012580001234567890,127790287445645713,232000.0,Pago factura 8D783178-C935-A278-9645-DEC1840D214B,SPEI
TX00190,2025-05-23,012580001234567890,002657203516539575,1821.72,Pago factura BA3696CC-7CCD-1AC6-DB55-DAF52DD4450C,efectivo
TX00191,2025-05-26,012580001234567890,072035061403237378,194648.0,Pago factura A247541D-C8AD-0899-B630-794D6147ADEB,SPEI
TX00192,2025-05-26,012580001234567890,012419423697713595,167144.98,Pago factura 44D7DF9A-238B-05B7-2B64-777C6177A771,SPEI
TX00193,2025-05-26,012580001234567890,002538819687479285,14085.18,Pago factura 751303B9-C7DE-96EA-2B0F-BE4449E64C22,SPEI
TX00194,2025-05-26,012580001234567890,014273796172575982,244444.25,Pago factura D1F16485-429A-4A7C-4C80-D33AAD5BE3C8,SPEI
TX00195,2025-05-26,058761949011137398,012580001234567890,166399.68,Cobro factura 92D2408E-FF08-C739-4C1D-2E430C2B03E4,SPEI
TX00196,2025-05-27,072135125058454048,012580001234567890,258388.77,Cobro factura 56D2BB12-AF5A-7636-E8B8-D2529670CD19,SPEI
TX00197,2025-05-28,012580001234567890,002876210248046164,107393.38,Pago factura B34C6C73-5833-0B30-6C77-6E950B981CCD,SPEI
