po_id,vendor_rfc,date,amount,requester,approver,description
PO00043,LPK240212P77,2025-11-25,16006.53,María García,Diego Zambrano,Flete local — carta porte anexa
PO00044,YMF930303K2S,2025-09-05,11658.0,Sofía Garza,Diego Zambrano,Brocas HSS
PO00045,ZUX97062289Q,2025-08-17,11428.78,Diego Salinas,Diego Zambrano,Servicio de energía
PO00046,SJP030817VDZ,2025-09-24,116507.85,Ana Zambrano,Diego Zambrano,Electrodos 6013
PO00047,DGN090812Y08,2025-05-08,80652.25,Rodrigo Quintanilla,Diego Zambrano,Discos de corte
PO00048,WGM241113MRL,2025-07-20,15195.88,Emilio García,Diego Zambrano,Brocas HSS
PO00050,MXU951103KXW,2025-05-08,107393.38,Luis Villarreal,Diego Zambrano,Solvente industrial
PO00052,OSD160228AKR,2025-12-03,180243.58,Daniela Sada,Diego Zambrano,Perfil PTR 2x2
PO00053,PMN121218LZJ,2025-12-11,138843.18,Daniela Sada,Diego Zambrano,Placa de acero A36
PO00054,BTN8908152SD,2025-09-10,140348.98,Regina Sada,Diego Zambrano,Bandas industriales
PO00055,ZLV900812OLD,2025-09-23,180122.25,Héctor Lozano,Diego Zambrano,Brocas HSS
PO00056,ZLV900812OLD,2025-11-08,110768.4,Luis Villarreal,Diego Zambrano,Guantes de carnaza
PO00057,SJP030817VDZ,2025-04-06,34333.45,Óscar Zambrano,Diego Zambrano,Solvente industrial
PO00058,BGD030823RBW,2025-08-21,221688.18,Ana Quintanilla,Diego Zambrano,Lámina de acero cal. 14
PO00059,DZI910804SQ0,2025-08-24,15543.88,Emilio García,Diego Zambrano,Lámina de acero cal. 14
PO00060,LPK240212P77,2025-05-04,15454.75,Rodrigo Quintanilla,Diego Zambrano,Flete local — carta porte anexa
PO00061,LJA880717NNC,2025-08-13,49856.8,Emilio Villarreal,Diego Zambrano,Sellos hidráulicos
PO00062,LPK240212P77,2025-04-21,19772.11,María García,Diego Zambrano,Flete local — carta porte anexa
PO00063,LPK240212P77,2025-03-26,19197.68,María García,Diego Zambrano,Flete local — carta porte anexa
PO00064,DGQ240803D6V,2025-09-29,13908.98,Ana Zambrano,Diego Zambrano,Electrodos 6013
PO00066,LJA880717NNC,2025-08-19,27570.65,Sofía Villarreal,Diego Zambrano,Bandas industriales
PO00067,ZWS100912DOJ,2025-05-20,36783.6,María García,Diego Zambrano,Servicios de limpieza
PO00068,ZLV900812OLD,2025-03-03,200181.08,Emilio Villarreal,Diego Zambrano,Electrodos 6013
PO00069,DFP890325WQU,2025-12-06,10022.4,Héctor Lozano,Diego Zambrano,Renta de nave industrial
PO00070,UWP921026BTX,2025-01-08,18736.78,Ana Zambrano,Diego Zambrano,Motor eléctrico 5HP
PO00071,DZI910804SQ0,2025-11-27,11335.98,Emilio Villarreal,Diego Zambrano,Barra redonda 1018
PO00072,JPY870826UGV,2025-02-24,72627.48,Sofía Villarreal,Diego Zambrano,Placa de acero A36
PO00073,DFP890325WQU,2025-04-27,24316.38,Daniela Sada,Diego Zambrano,Servicio de energía
PO00074,FNI920522YRY,2025-05-16,219532.78,Daniela Sada,Diego Zambrano,Motor eléctrico 5HP
PO00075,BTN8908152SD,2025-08-15,164952.0,Ana Quintanilla,Diego Zambrano,Rodamientos SKF
PO00076,ZLV900812OLD,2025-06-16,128226.28,Diego Salinas,Diego Zambrano,Brocas HSS
PO00077,ZLV900812OLD,2025-08-20,83590.18,Regina Sada,Diego Zambrano,Discos de corte
PO00078,UWP921026BTX,2025-12-13,25659.2,Luis Villarreal,Diego Zambrano,Motor eléctrico 5HP
PO00079,HTX0701065UO,2025-11-14,82163.38,Héctor Lozano,Diego Zambrano,Flete local
PO00080,HQP910421HXF,2025-05-23,112383.58,Diego Salinas,Diego Zambrano,Servicios de limpieza
PO00081,DZI910804SQ0,2025-08-27,15242.4,Sofía Garza,Diego Zambrano,Barra redonda 1018
PO00082,YNB000215EQT,2025-05-27,28419.88,Sofía Villarreal,Diego Zambrano,Placa de acero A36
PO00083,ZUX97062289Q,2025-04-24,5031.85,Luis Villarreal,Diego Zambrano,Renta de nave industrial
PO00084,ILK110504O8G,2025-02-23,58765.48,Daniela Sada,Diego Zambrano,Barra redonda 1018
PO00085,PMN121218LZJ,2025-05-10,221815.2,Emilio Villarreal,Diego Zambrano,Placa de acero A36
PO00086,LAI101206479,2025-12-08,217047.6,Sofía Villarreal,Diego Zambrano,Discos de corte
PO00087,ZLV900812OLD,2025-05-20,144651.88,Daniela Sada,Diego Zambrano,Solvente industrial
PO00088,YMF930303K2S,2025-03-04,10068.8,Ana Zambrano,Diego Zambrano,Guantes de carnaza
PO00089,DGN090812Y08,2025-06-22,59424.25,Luis Villarreal,Diego Zambrano,Brocas HSS
PO00090,BTN8908152SD,2025-01-18,118029.88,Ana Quintanilla,Diego Zambrano,Bandas industriales
PO00091,DZI910804SQ0,2025-01-01,6449.48,Emilio Villarreal,Diego Zambrano,Tubo estructural
PO00092,LAI101206479,2025-01-05,73265.48,Regina Sada,Diego Zambrano,Discos de corte
PO00094,ZLV900812OLD,2025-10-21,149860.28,Sofía Garza,Diego Zambrano,Guantes de carnaza
PO00096,ZLV900812OLD,2025-11-21,105641.08,Ana Zambrano,Diego Zambrano,Solvente industrial
PO00097,DFP890325WQU,2025-07-02,9764.65,Daniela Sada,Diego Zambrano,Renta de montacargas
PO00098,ZLV900812OLD,2025-02-18,184802.38,Daniela Sada,Diego Zambrano,Solvente industrial
PO00099,FNI920522YRY,2025-03-24,227894.18,Óscar Zambrano,Diego Zambrano,Sellos hidráulicos
PO00100,DGN090812Y08,2025-01-27,92103.88,María García,Diego Zambrano,Guantes de carnaza
PO00101,ZLV900812OLD,2025-03-12,156496.18,Sofía Villarreal,Diego Zambrano,Discos de corte
PO00102,WGM241113MRL,2024-12-29,25877.05,Daniela Sada,Diego Zambrano,Brocas HSS
PO00103,WGM241113MRL,2025-11-22,21926.78,Diego Salinas,Diego Zambrano,Electrodos 6013
PO00104,ZWS100912DOJ,2025-08-20,44024.78,Ana Quintanilla,Diego Zambrano,Asesoría fiscal
PO00105,FNI920522YRY,2025-12-04,149092.25,María García,Diego Zambrano,Rodamientos SKF
PO00106,LJA880717NNC,2025-04-08,30287.6,Emilio García,Diego Zambrano,Válvulas neumáticas
PO00107,DGQ240803D6V,2025-05-07,12495.98,Diego Montemayor,Diego Zambrano,Brocas HSS
PO00108,JPY870826UGV,2025-01-08,111580.4,Emilio García,Diego Zambrano,Placa de acero A36
PO00109,WWH110626S3K,2025-08-18,22350.65,María García,Diego Zambrano,Tubo estructural
PO00110,DZI910804SQ0,2025-01-01,11217.2,Ana Quintanilla,Diego Zambrano,Barra redonda 1018
PO00111,DFP890325WQU,2025-02-08,10344.65,Diego Salinas,Diego Zambrano,Servicio de energía
PO00112,OSD160228AKR,2025-08-04,86292.4,Luis Villarreal,Diego Zambrano,Tubo estructural
PO00113,CZT910806Y6B,2025-05-04,45832.18,Diego Montemayor,Diego Zambrano,Discos de corte
PO00114,BTN8908152SD,2025-06-15,122820.8,Diego Montemayor,Diego Zambrano,Sellos hidráulicos
PO00115,BGD030823RBW,2025-12-02,144596.78,Luis Villarreal,Diego Zambrano,Tubo estructural
PO00116,SZC9707063JK,2025-05-31,8550.72,Luis Villarreal,Diego Zambrano,Discos de corte
PO00117,UWP921026BTX,2025-11-28,10046.18,Héctor Lozano,Diego Zambrano,Bandas industriales
PO00118,CZT910806Y6B,2025-07-18,41948.38,Héctor Lozano,Diego Zambrano,Electrodos 6013
PO00119,DBU231227UKE,2025-03-04,45576.28,Ana Quintanilla,Diego Zambrano,Rodamientos SKF
PO00120,DZI910804SQ0,2025-11-14,3781.6,Óscar Zambrano,Diego Zambrano,Placa de acero A36
PO00121,HQP910421HXF,2025-03-21,54671.38,Sofía Villarreal,Diego Zambrano,Asesoría fiscal
PO00122,DFP890325WQU,2025-11-11,20207.08,Luis Villarreal,Diego Zambrano,Servicio de energía
PO00123,ZWS100912DOJ,2025-11-30,50126.38,Luis Villarreal,Diego Zambrano,Servicios de limpieza
PO00124,ZLV900812OLD,2025-02-28,224782.25,Héctor Lozano,Diego Zambrano,Solvente industrial
PO00125,OSD160228AKR,2025-10-05,207979.18,Ana Quintanilla,Diego Zambrano,Barra redonda 1018
PO00126,MXU951103KXW,2025-05-26,67674.98,Emilio García,Diego Zambrano,Guantes de carnaza
PO00127,DBY200622EMX,2025-08-20,9166.78,Emilio García,Diego Zambrano,Placa de acero A36
PO00128,CRH230311CX7,2025-05-19,181923.38,Óscar Zambrano,Diego Zambrano,Asesoría fiscal
PO00129,DZI910804SQ0,2025-04-18,9512.58,María García,Diego Zambrano,Lámina de acero cal. 14
PO00130,UWP921026BTX,2025-05-25,10396.38,Sofía Garza,Diego Zambrano,Motor eléctrico 5HP
PO00131,ILK110504O8G,2025-04-11,194729.08,Ana Quintanilla,Diego Zambrano,Lámina de acero cal. 14
PO00132,ZUX97062289Q,2025-11-23,8445.38,Óscar Zambrano,Diego Zambrano,Servicio de energía
PO00133,OSD160228AKR,2025-08-25,158966.28,Óscar Zambrano,Diego Zambrano,Placa de acero A36
PO00134,ILK110504O8G,2025-02-13,138794.58,Sofía Villarreal,Diego Zambrano,Barra redonda 1018
PO00135,BGD030823RBW,2025-04-24,71082.25,Daniela Sada,Diego Zambrano,Barra redonda 1018
PO00136,BGD030823RBW,2025-01-26,163534.25,Sofía Garza,Diego Zambrano,Barra redonda 1018
PO00137,DGN090812Y08,2025-06-06,43291.2,Diego Montemayor,Diego Zambrano,Solvente industrial
PO00138,FNI920522YRY,2025-01-15,120848.68,Sofía Villarreal,Diego Zambrano,Bandas industriales
PO00139,DBY200622EMX,2025-05-27,25824.38,Sofía Garza,Diego Zambrano,Perfil PTR 2x2
PO00140,BTN8908152SD,2025-06-23,124946.38,Sofía Garza,Diego Zambrano,Bandas industriales
PO00141,DGQ240803D6V,2025-07-30,1793.0,Diego Montemayor,Diego Zambrano,Brocas HSS
PO00142,DGN090812Y08,2025-08-14,51921.6,Héctor Lozano,Diego Zambrano,Electrodos 6013
PO00143,ILK110504O8G,2025-10-07,74759.45,Regina Sada,Diego Zambrano,Placa de acero A36
PO00144,WGM241113MRL,2025-05-29,49288.98,Óscar Zambrano,Diego Zambrano,Guantes de carnaza
PO00145,FQZ88060892H,2025-08-14,71488.25,Óscar Zambrano,Diego Zambrano,Lámina de acero cal. 14
PO00146,LIP121209QK9,2025-03-02,124212.68,Ana Quintanilla,Diego Zambrano,Bandas industriales
PO00147,OSD160228AKR,2025-04-25,74411.45,Emilio Villarreal,Diego Zambrano,Barra redonda 1018
PO00148,WWH110626S3K,2025-10-19,10787.88,Daniela Sada,Diego Zambrano,Tubo estructural
PO00149,WGM241113MRL,2025-07-25,58559.58,Daniela Sada,Diego Zambrano,Brocas HSS
PO00150,WGM241113MRL,2025-05-09,49624.8,Daniela Sada,Diego Zambrano,Discos de corte
PO00151,CRH230311CX7,2025-05-01,207152.8,Ana Quintanilla,Diego Zambrano,Servicios de limpieza
PO00152,ZWS100912DOJ,2025-11-20,32953.05,Héctor Lozano,Diego Zambrano,Consultoría de procesos
PO00154,CRH230311CX7,2025-12-11,114700.8,Sofía Garza,Diego Zambrano,Servicio de mantenimiento
PO00155,LAI101206479,2025-09-24,104889.98,Diego Montemayor,Diego Zambrano,Brocas HSS
PO00156,LIP121209QK9,2025-10-01,57585.18,Sofía Garza,Diego Zambrano,Bandas industriales
PO00157,FQZ88060892H,2025-01-21,117684.78,Diego Montemayor,Diego Zambrano,Tubo estructural
PO00158,BGD030823RBW,2025-09-16,208535.98,Óscar Zambrano,Diego Zambrano,Lámina de acero cal. 14
PO00159,OSD160228AKR,2025-03-23,90108.68,Sofía Garza,Diego Zambrano,Tubo estructural
PO00160,BGD030823RBW,2025-08-10,77906.18,Emilio Villarreal,Diego Zambrano,Lámina de acero cal. 14
PO00161,LJA880717NNC,2025-08-16,55830.68,Sofía Garza,Diego Zambrano,Rodamientos SKF
PO00162,HTX0701065UO,2025-11-30,74237.45,Emilio Villarreal,Diego Zambrano,Flete foráneo
PO00163,FQZ88060892H,2025-02-03,73451.2,Emilio Villarreal,Diego Zambrano,Tubo estructural
PO00164,LIP121209QK9,2025-05-11,92164.78,María García,Diego Zambrano,Bandas industriales
PO00165,ZLV900812OLD,2025-10-03,152412.98,Diego Salinas,Diego Zambrano,Guantes de carnaza
PO00166,OSD160228AKR,2025-06-03,198733.98,María García,Diego Zambrano,Placa de acero A36
PO00168,ZLV900812OLD,2025-08-17,129896.68,Luis Villarreal,Diego Zambrano,Brocas HSS
PO00169,SJP030817VDZ,2025-03-12,98695.58,Héctor Lozano,Diego Zambrano,Guantes de carnaza
PO00170,UWP921026BTX,2025-06-24,22748.18,Emilio Villarreal,Diego Zambrano,Bandas industriales
PO00171,BTN8908152SD,2025-03-18,122331.05,Sofía Garza,Diego Zambrano,Bandas industriales
PO00172,BGD030823RBW,2025-10-10,178953.78,Luis Villarreal,Diego Zambrano,Placa de acero A36
PO00173,ZLV900812OLD,2025-06-25,230120.68,María García,Diego Zambrano,Brocas HSS
PO00174,DGN090812Y08,2025-10-29,42943.2,Diego Salinas,Diego Zambrano,Electrodos 6013
PO00175,DBU231227UKE,2025-08-31,42528.38,Diego Salinas,Diego Zambrano,Sellos hidráulicos
PO00176,GTT9311046XL,2025-10-26,18200.28,Rodrigo Quintanilla,Diego Zambrano,Servicios de limpieza
PO00177,HQP910421HXF,2025-02-09,66305.6,Diego Salinas,Diego Zambrano,Asesoría fiscal
PO00178,HQP910421HXF,2025-07-11,107633.85,Óscar Zambrano,Diego Zambrano,Asesoría fiscal
PO00179,FQZ88060892H,2025-04-17,48792.38,Diego Montemayor,Diego Zambrano,Lámina de acero cal. 14
PO00180,WGM241113MRL,2025-02-12,44471.85,Óscar Zambrano,Diego Zambrano,Discos de corte
PO00181,JPY870826UGV,2025-05-31,148607.48,Daniela Sada,Diego Zambrano,Placa de acero A36
PO00182,LIP121209QK9,2025-04-14,201875.38,Sofía Villarreal,Diego Zambrano,Rodamientos SKF
PO00183,GTT9311046XL,2025-05-25,17760.18,Ana Quintanilla,Diego Zambrano,Consultoría de procesos
PO00184,ILK110504O8G,2025-11-30,67663.38,Regina Sada,Diego Zambrano,Placa de acero A36
PO00185,YNB000215EQT,2025-10-05,12249.6,Ana Quintanilla,Diego Zambrano,Placa de acero A36
PO00186,SJP030817VDZ,2025-06-01,116501.58,Diego Salinas,Diego Zambrano,Guantes de carnaza
PO00187,YMF930303K2S,2025-04-06,9289.05,María García,Diego Zambrano,Brocas HSS
PO00188,OSD160228AKR,2025-07-10,141123.05,Regina Sada,Diego Zambrano,Placa de acero A36
PO00189,LPK240212P77,2025-02-23,6087.62,Sofía Garza,Diego Zambrano,Flete local — carta porte anexa
PO00190,DGN090812Y08,2025-03-12,96175.6,Rodrigo Quintanilla,Diego Zambrano,Electrodos 6013
PO00191,FNI920522YRY,2025-11-06,220913.18,Diego Montemayor,Diego Zambrano,Válvulas neumáticas
PO00192,WGM241113MRL,2025-05-06,24429.6,Sofía Garza,Diego Zambrano,Guantes de carnaza
PO00193,DGN090812Y08,2025-06-14,38720.68,Daniela Sada,Diego Zambrano,Discos de corte
PO00194,BTN8908152SD,2025-04-25,94612.38,Emilio García,Diego Zambrano,Bandas industriales
PO00195,HTX0701065UO,2025-06-03,58043.85,Ana Zambrano,Diego Zambrano,Flete foráneo
PO00196,ILK110504O8G,2025-05-05,89067.58,Ana Quintanilla,Diego Zambrano,Barra redonda 1018
PO00198,MXU951103KXW,2025-06-26,39521.08,María García,Diego Zambrano,Guantes de carnaza
PO00199,DZI910804SQ0,2025-01-19,16463.18,Héctor Lozano,Diego Zambrano,Lámina de acero cal. 14
PO00200,LIP121209QK9,2025-09-26,242414.25,Luis Villarreal,Diego Zambrano,Sellos hidráulicos
PO00201,HQP910421HXF,2025-12-04,37273.58,Héctor Lozano,Diego Zambrano,Asesoría fiscal
PO00202,DGQ240803D6V,2025-03-26,18943.38,Diego Montemayor,Diego Zambrano,Discos de corte
PO00203,IXC940413YZC,2025-05-12,40034.38,Ana Zambrano,Diego Zambrano,Discos de corte
PO00204,UWP921026BTX,2025-04-13,19664.78,Ana Quintanilla,Diego Zambrano,Motor eléctrico 5HP
PO00205,ILK110504O8G,2025-04-17,118216.18,Daniela Sada,Diego Zambrano,Tubo estructural
PO00206,WWH110626S3K,2025-06-18,12237.88,Ana Quintanilla,Diego Zambrano,Placa de acero A36
PO00207,DGN090812Y08,2025-12-10,64647.38,Diego Salinas,Diego Zambrano,Brocas HSS
PO00209,SJP030817VDZ,2025-01-31,94931.85,Luis Villarreal,Diego Zambrano,Electrodos 6013
PO00210,ZLV900812OLD,2025-03-28,226051.98,Emilio Villarreal,Diego Zambrano,Brocas HSS
PO00211,OSD160228AKR,2025-11-25,177547.05,Diego Salinas,Diego Zambrano,Placa de acero A36
PO00212,WGM241113MRL,2025-07-17,17316.25,Emilio Villarreal,Diego Zambrano,Brocas HSS
PO00213,OSD160228AKR,2025-06-09,234564.18,Diego Montemayor,Diego Zambrano,Placa de acero A36
PO00214,ZLV900812OLD,2025-02-20,152795.08,María García,Diego Zambrano,Electrodos 6013
PO00215,HTX0701065UO,2025-01-09,92950.68,Rodrigo Quintanilla,Diego Zambrano,Flete foráneo
PO00216,BGD030823RBW,2025-07-25,64855.48,María García,Diego Zambrano,Lámina de acero cal. 14
PO00217,YMF930303K2S,2025-01-21,8978.98,Daniela Sada,Diego Zambrano,Solvente industrial
PO00218,FNI920522YRY,2025-06-06,193131.18,Ana Zambrano,Diego Zambrano,Rodamientos SKF
PO00219,DZI910804SQ0,2025-03-19,12165.85,Regina Sada,Diego Zambrano,Lámina de acero cal. 14
PO00220,PMN121218LZJ,2025-11-15,238391.6,Daniela Sada,Diego Zambrano,Barra redonda 1018
PO00221,WGM241113MRL,2025-02-17,18957.18,Óscar Zambrano,Diego Zambrano,Brocas HSS
PO00222,UWP921026BTX,2025-03-09,19450.65,Sofía Villarreal,Diego Zambrano,Válvulas neumáticas
PO00224,ZLV900812OLD,2025-09-18,70307.6,Diego Montemayor,Diego Zambrano,Brocas HSS
PO00225,WGM241113MRL,2025-07-03,16738.68,Héctor Lozano,Diego Zambrano,Electrodos 6013
PO00226,ZWS100912DOJ,2025-06-15,34437.85,Emilio Villarreal,Diego Zambrano,Capacitación
PO00227,HQP910421HXF,2025-07-27,42537.08,María García,Diego Zambrano,Asesoría fiscal
PO00228,BNW120625NY2,2025-08-13,440800.0,Rodrigo Quintanilla,María García,Honorarios — litigio mercantil exp. 412/2025
PO00229,LJA880717NNC,2025-11-11,13989.6,Ana Zambrano,Diego Zambrano,Motor eléctrico 5HP
PO00230,PMN121218LZJ,2025-10-24,76919.6,María García,Diego Zambrano,Placa de acero A36
PO00231,IXC940413YZC,2025-02-02,23199.88,Emilio Villarreal,Diego Zambrano,Solvente industrial
PO00232,IXC940413YZC,2025-06-11,25241.48,Diego Montemayor,Diego Zambrano,Electrodos 6013
PO00233,IXC940413YZC,2025-02-22,50353.05,Diego Montemayor,Diego Zambrano,Electrodos 6013
PO00234,ILK110504O8G,2025-02-22,56480.4,Regina Sada,Diego Zambrano,Barra redonda 1018
PO00235,ZLV900812OLD,2025-07-07,190167.85,Luis Villarreal,Diego Zambrano,Guantes de carnaza
PO00236,WWH110626S3K,2025-01-28,15787.48,Rodrigo Quintanilla,Diego Zambrano,Lámina de acero cal. 14
PO00237,IXC940413YZC,2025-11-20,17815.05,Regina Sada,Diego Zambrano,Brocas HSS
PO00238,LIP121209QK9,2025-06-30,201549.88,Ana Zambrano,Diego Zambrano,Motor eléctrico 5HP
PO00239,OSD160228AKR,2025-08-29,67572.78,Emilio Villarreal,Diego Zambrano,Perfil PTR 2x2
PO00240,WWH110626S3K,2025-02-24,16471.88,Daniela Sada,Diego Zambrano,Tubo estructural
PO00241,BGD030823RBW,2025-08-14,90259.6,Rodrigo Quintanilla,Diego Zambrano,Placa de acero A36
PO00242,ZLV900812OLD,2025-05-06,99785.98,Diego Montemayor,Diego Zambrano,Brocas HSS
PO00243,DGN090812Y08,2025-01-10,83529.05,Ana Quintanilla,Diego Zambrano,Guantes de carnaza
PO00244,OSD160228AKR,2025-02-07,162284.0,Daniela Sada,Diego Zambrano,Tubo estructural
PO00245,WWH110626S3K,2025-01-02,20555.08,Ana Zambrano,Diego Zambrano,Placa de acero A36
PO00246,JMK241214132,2025-09-16,87000.0,Diego Salinas,Diego Zambrano,Rodamientos SKF
PO00247,UWP921026BTX,2025-09-25,11080.78,Emilio García,Diego Zambrano,Sellos hidráulicos
PO00249,HQP910421HXF,2025-08-11,32233.85,Ana Zambrano,Diego Zambrano,Servicios de limpieza
PO00250,OSD160228AKR,2025-02-17,220657.98,Luis Villarreal,Diego Zambrano,Lámina de acero cal. 14
PO00251,SZC9707063JK,2025-09-21,12146.92,María García,Diego Zambrano,Electrodos 6013
PO00252,JPY870826UGV,2025-06-19,187758.18,Héctor Lozano,Diego Zambrano,Tubo estructural
PO00253,WGM241113MRL,2025-07-14,28315.6,Óscar Zambrano,Diego Zambrano,Electrodos 6013
PO00254,IXC940413YZC,2025-08-21,32213.08,Diego Salinas,Diego Zambrano,Solvente industrial
PO00255,UWP921026BTX,2025-04-17,14085.18,Daniela Sada,Diego Zambrano,Bandas industriales
PO00256,DZI910804SQ0,2025-11-04,16655.05,María García,Diego Zambrano,Placa de acero A36
PO00257,UWP921026BTX,2025-12-02,24177.18,Ana Zambrano,Diego Zambrano,Válvulas neumáticas
PO00258,UWP921026BTX,2025-09-08,29496.25,Diego Montemayor,Diego Zambrano,Válvulas neumáticas
PO00259,PMN121218LZJ,2025-04-23,137494.8,Daniela Sada,Diego Zambrano,Placa de acero A36
PO00260,YMF930303K2S,2025-11-13,11670.18,Diego Salinas,Diego Zambrano,Discos de corte
PO00261,SZC9707063JK,2025-02-02,11898.46,Ana Zambrano,Diego Zambrano,Discos de corte
PO00262,JPY870826UGV,2025-02-26,173466.28,Héctor Lozano,Diego Zambrano,Placa de acero A36
PO00263,BGD030823RBW,2025-05-25,95549.08,Ana Zambrano,Diego Zambrano,Lámina de acero cal. 14
PO00264,BGD030823RBW,2025-06-15,244850.25,Sofía Garza,Diego Zambrano,Placa de acero A36
PO00265,HQP910421HXF,2025-07-27,86791.2,Regina Sada,Diego Zambrano,Consultoría de procesos
PO00266,DGQ240803D6V,2025-02-08,20123.45,Sofía Garza,Diego Zambrano,Discos de corte
PO00267,LIP121209QK9,2025-05-06,95978.98,Héctor Lozano,Diego Zambrano,Bandas industriales
PO00268,JPY870826UGV,2025-08-08,130143.18,Regina Sada,Diego Zambrano,Barra redonda 1018
PO00269,WWH110626S3K,2025-05-16,27875.38,Luis Villarreal,Diego Zambrano,Barra redonda 1018
PO00270,WGM241113MRL,2025-12-11,35600.4,Óscar Zambrano,Diego Zambrano,Brocas HSS
PO00271,BTN8908152SD,2025-02-05,107610.65,Ana Quintanilla,Diego Zambrano,Sellos hidráulicos
PO00272,DGQ240803D6V,2025-04-15,14465.08,Luis Villarreal,Diego Zambrano,Brocas HSS
PO00273,SJP030817VDZ,2025-06-03,66363.48,Diego Salinas,Diego Zambrano,Solvente industrial
PO00274,JPY870826UGV,2025-02-02,130293.98,Luis Villarreal,Diego Zambrano,Lámina de acero cal. 14
PO00275,DGQ240803D6V,2025-03-21,20613.08,Emilio García,Diego Zambrano,Electrodos 6013
